#Parameters = {M=2; N=57.75; a=0.4; b=0.81; d=1.0125; er=3; g=0.01; p=0.8; srr=0.0025; wgr6=1.625}
#"Frequency / GHz"	"S1,1 [Magnitude / dB]"
#-----------------------------------------
111.26000213623	-19.382043889850
111.37000274658	-19.553419782734
111.48000335693	-19.924376837435
111.58999633789	-20.483672074209
111.69999694824	-21.249983681226
111.80999755859	-22.282342212796
111.91999816895	-23.691311848156
112.02999877930	-25.658751343625
112.13999938965	-28.468172364284
112.25000000000	-32.313568047135
112.36000061035	-34.471737400891
112.47000122070	-31.098532845341
112.58000183105	-27.539277136929
112.69000244141	-25.043273865304
112.80000305176	-23.317429436361
112.91000366211	-22.113838111154
113.01999664307	-21.272890832544
113.12999725342	-20.691808433875
113.23999786377	-20.310047015611
113.34999847412	-20.103431401037
113.45999908447	-20.078549952401
113.56999969482	-20.264921263677
113.68000030518	-20.707250419035
113.79000091553	-21.461287429270
113.90000152588	-22.595564802308
114.01000213623	-24.200103561543
114.12000274658	-26.400639507783
114.23000335693	-29.344999986574
114.33999633789	-32.816757545331
114.44999694824	-34.187710778327
114.55999755859	-31.628974830986
114.66999816895	-28.631282347842
114.77999877930	-26.255191352029
114.88999938965	-24.408120830633
115.00000000000	-22.959871901086
115.11000061035	-21.840881971801
115.22000122070	-21.021050672392
115.33000183105	-20.488286743954
115.44000244141	-20.236008257588
115.55000305176	-20.257123785499
115.66000366211	-20.541788543060
115.76999664307	-21.077906145095
115.87999725342	-21.855039020039
115.98999786377	-22.873565400639
116.09999847412	-24.160714715398
116.20999908447	-25.793039870292
116.31999969482	-27.919332453208
116.43000030518	-30.730477934107
116.54000091553	-33.850188759876
116.65000152588	-33.989599098471
116.76000213623	-30.714102587001
116.87000274658	-27.632668269139
116.98000335693	-25.366495435291
117.08999633789	-23.755714250038
117.19999694824	-22.635864299601
117.30999755859	-21.886320671159
117.41999816895	-21.416540205397
117.52999877930	-21.158515918843
117.63999938965	-21.067530855010
117.75000000000	-21.126211404304
117.86000061035	-21.346184236527
117.97000122070	-21.764661618361
118.08000183105	-22.438285824000
118.19000244141	-23.439125645462
118.30000305176	-24.856610350044
118.41000366211	-26.805072503486
118.51999664307	-29.416457620735
118.62999725342	-32.639506199925
118.73999786377	-34.948906761084
118.84999847412	-33.594044495197
118.95999908447	-30.798007393882
119.06999969482	-28.403556664206
119.18000030518	-26.514634292881
119.29000091553	-25.003846160413
119.40000152588	-23.789142274679
119.51000213623	-22.837855924870
119.62000274658	-22.143077443718
119.73000335693	-21.705591248587
119.83999633789	-21.524108152856
119.94999694824	-21.591160601191
120.05999755859	-21.892354182306
120.16999816895	-22.408556569713
120.27999877930	-23.122337433354
120.38999938965	-24.030304402149
120.50000000000	-25.161176135306
120.61000061035	-26.597221679413
120.72000122070	-28.498762544284
120.83000183105	-31.130703912619
120.94000244141	-34.729729667358
121.05000305176	-37.322836765318
121.16000366211	-34.428137403944
121.26999664307	-30.705634346536
121.37999725342	-28.013824906340
121.48999786377	-26.128450192974
121.59999847412	-24.797646864149
121.70999908447	-23.851575113509
121.81999969482	-23.173976685015
121.93000030518	-22.687952797412
122.04000091553	-22.352734607398
122.15000152588	-22.161176714876
122.26000213623	-22.132529477971
122.37000274658	-22.301690344088
122.48000335693	-22.709508844693
122.58999633789	-23.397264500235
122.69999694824	-24.405768566823
122.80999755859	-25.778371470003
122.91999816895	-27.567421852990
123.02999877930	-29.840259151466
123.13999938965	-32.641473665245
123.25000000000	-35.592782277674
123.36000061035	-36.500444128202
123.47000122070	-34.124229194358
123.58000183105	-31.119388022538
123.69000244141	-28.595140156850
123.80000305176	-26.609084881312
123.91000366211	-25.086870563987
124.01999664307	-23.962019945401
124.12999725342	-23.180883361099
124.23999786377	-22.695563312513
124.34999847412	-22.459394190023
124.45999908447	-22.426632801079
124.56999969482	-22.557106591582
124.68000030518	-22.825411873601
124.79000091553	-23.231378876480
124.90000152588	-23.806573684436
125.01000213623	-24.614586551145
125.12000274658	-25.749141272859
125.23000335693	-27.338118435177
125.33999633789	-29.558749538916
125.44999694824	-32.629488169660
125.55999755859	-36.302481244436
125.66999816895	-37.135285262849
125.77999877930	-34.037977333744
125.88999938965	-31.070871075422
126.00000000000	-28.868318090014
126.11000061035	-27.199969594884
126.22000122070	-25.877631280008
126.33000183105	-24.802720308845
126.44000244141	-23.940330613102
126.55000305176	-23.290522098952
126.66000366211	-22.865523330720
126.76999664307	-22.675625879103
126.87999725342	-22.722452706881
126.98999786377	-22.996871639788
