#Parameters = {r=0.1; M=2; N=57.75; a=0.4; b=0.75; d=1.0125; er=3; g=0.01; p=0.8; srr=0.0004; wgr6=1.625}
#"Frequency / GHz"	"S2,1 (1) [Magnitude / dB]"
#---------------------------------------------
90.470001220703	-25.068658620565
90.580001831055	-24.814381746831
90.690002441406	-24.549534893728
90.800003051758	-24.273372559188
90.910003662109	-23.985072296226
91.019996643066	-23.683731357378
91.129997253418	-23.368354263158
91.239997863770	-23.037834503992
91.349998474121	-22.690943778575
91.459999084473	-22.326331652489
91.569999694824	-21.942529672856
91.680000305176	-21.537981630471
91.790000915527	-21.111078057620
91.900001525879	-20.660224138408
92.010002136230	-20.183894895189
92.120002746582	-19.680727382848
92.230003356934	-19.149596972602
92.339996337891	-18.589720421678
92.449996948242	-18.000736922656
92.559997558594	-17.382814007074
92.669998168945	-16.736721607800
92.779998779297	-16.063909787234
92.889999389648	-15.366549821905
93.000000000000	-14.647526277410
93.110000610352	-13.910410984610
93.220001220703	-13.159366151876
93.330001831055	-12.399025932443
93.440002441406	-11.634357143820
93.550003051758	-10.870499274848
93.660003662109	-10.112627954011
93.769996643066	-9.3658368501705
93.879997253418	-8.6350330569325
93.989997863770	-7.9248839841703
94.099998474121	-7.2397792138866
94.209999084473	-6.5838121782906
94.319999694824	-5.9607914538625
94.430000305176	-5.3742530284533
94.540000915527	-4.8274805437322
94.650001525879	-4.3235314385305
94.760002136230	-3.8652482902549
94.870002746582	-3.4552682259852
94.980003356934	-3.0960184857991
95.089996337891	-2.7896945618289
95.199996948242	-2.5382005234328
95.309997558594	-2.3430694093082
95.419998168945	-2.2053205205713
95.529998779297	-2.1252551160921
95.639999389648	-2.1021613772292
95.750000000000	-2.1339035578579
95.860000610352	-2.2163894925232
95.970001220703	-2.3429115191779
96.080001831055	-2.5034380783969
96.190002441406	-2.6840247236268
96.300003051758	-2.8667010217935
96.410003662109	-3.0303290027045
96.519996643066	-3.1529298707455
96.629997253418	-3.2155161697041
96.739997863770	-3.2065688950940
96.849998474121	-3.1253932266159
96.959999084473	-2.9826414756922
97.069999694824	-2.7977248542840
97.180000305176	-2.5943675843972
97.290000915527	-2.3962079055679
97.400001525879	-2.2236535184987
97.510002136230	-2.0921879597989
97.620002746582	-2.0117471362988
97.730003356934	-1.9865833679924
97.839996337891	-2.0152357432280
97.949996948242	-2.0904582478430
98.059997558594	-2.1992403481900
98.169998168945	-2.3232973813005
98.279998779297	-2.4406313297666
98.389999389648	-2.5286491711067
98.500000000000	-2.5687359138086
98.610000610352	-2.5510224486217
98.720001220703	-2.4773035512758
98.830001831055	-2.3605824059466
98.940002441406	-2.2214028434885
99.050003051758	-2.0827692815162
99.160003662109	-1.9655934846891
99.269996643066	-1.8856367490903
99.379997253418	-1.8519154500435
99.489997863770	-1.8660592054830
99.599998474121	-1.9222655907785
99.709999084473	-2.0077420025485
99.819999694824	-2.1040124868030
99.930000305176	-2.1895636539884
100.04000091553	-2.2440475758820
100.15000152588	-2.2533101191867
100.26000213623	-2.2134931941401
100.37000274658	-2.1322211274910
100.48000335693	-2.0262201184322
100.58999633789	-1.9165389227790
100.69999694824	-1.8234726820404
100.80999755859	-1.7626454591857
100.91999816895	-1.7426965511261
101.02999877930	-1.7642875924235
101.13999938965	-1.8201034883056
101.25000000000	-1.8958367011509
101.36000061035	-1.9724489705400
101.47000122070	-2.0299567900223
101.58000183105	-2.0523669595207
101.69000244141	-2.0322901263032
101.80000305176	-1.9732586534891
101.91000366211	-1.8885150395377
102.01999664307	-1.7968935466528
102.12999725342	-1.7176853160683
102.23999786377	-1.6662403945946
102.34999847412	-1.6511357600741
102.45999908447	-1.6728864675391
102.56999969482	-1.7239620657611
102.68000030518	-1.7900935795735
102.79000091553	-1.8530539533601
102.90000152588	-1.8949025909312
103.01000213623	-1.9029279148855
103.12000274658	-1.8735643417927
103.23000335693	-1.8134955640405
103.33999633789	-1.7373677489295
103.44999694824	-1.6632184200318
103.55999755859	-1.6075747858733
103.66999816895	-1.5816553080421
103.77999877930	-1.5892147408357
103.88999938965	-1.6259658695534
104.00000000000	-1.6804923785586
104.11000061035	-1.7366970956199
104.22000122070	-1.7777295251842
104.33000183105	-1.7907113089378
104.44000244141	-1.7707591071515
104.55000305176	-1.7225281752569
104.66000366211	-1.6585203373892
104.76999664307	-1.5949771298508
104.87999725342	-1.5471406441532
104.98999786377	-1.5254030543929
105.09999847412	-1.5330634974829
105.20999908447	-1.5657654239547
105.31999969482	-1.6125730795570
105.43000030518	-1.6586321049428
105.54000091553	-1.6891799013219
105.65000152588	-1.6939838396836
105.76000213623	-1.6706540677777
105.87000274658	-1.6253540501934
105.98000335693	-1.5705632346690
106.08999633789	-1.5209344104065
106.19999694824	-1.4889453197050
106.30999755859	-1.4816226074002
106.41999816895	-1.4989305233530
106.52999877930	-1.5338828857668
106.63999938965	-1.5743772229993
106.75000000000	-1.6065493116931
106.86000061035	-1.6189829206134
106.97000122070	-1.6065008748928
107.08000183105	-1.5719308924325
107.19000244141	-1.5250495469487
107.30000305176	-1.4791822770855
107.41000366211	-1.4469384751008
107.51999664307	-1.4365537660808
107.62999725342	-1.4497029748192
107.73999786377	-1.4810807763767
107.84999847412	-1.5197744357861
107.95999908447	-1.5523121213996
108.06999969482	-1.5668231143014
108.18000030518	-1.5570412851656
108.29000091553	-1.5245814536266
108.40000152588	-1.4783693934090
108.51000213623	-1.4315320765005
108.62000274658	-1.3971262314315
108.73000335693	-1.3842536276186
108.83999633789	-1.3955849599151
108.94999694824	-1.4266536698686
109.05999755859	-1.4670137201052
109.16999816895	-1.5031339775718
109.27999877930	-1.5225235839985
109.38999938965	-1.5179106343856
109.50000000000	-1.4898073486248
109.61000061035	-1.4462776407069
109.72000122070	-1.4000012100000
109.83000183105	-1.3640093029717
109.94000244141	-1.3477068657153
110.05000305176	-1.3543003321187
110.16000366211	-1.3800552189517
110.26999664307	-1.4154236353514
110.37999725342	-1.4479048405172
110.48999786377	-1.4660030312238
110.59999847412	-1.4631431031288
110.70999908447	-1.4399574680845
110.81999969482	-1.4039274927433
110.93000030518	-1.3665203468876
111.04000091553	-1.3391578361577
111.15000152588	-1.3295267926807
111.26000213623	-1.3393180195450
111.37000274658	-1.3638056274030
111.48000335693	-1.3933437738934
111.58999633789	-1.4164529792741
111.69999694824	-1.4237582119767
111.80999755859	-1.4114130883738
111.91999816895	-1.3825549605385
112.02999877930	-1.3461292552693
112.13999938965	-1.3136194141028
112.25000000000	-1.2950960078525
112.36000061035	-1.2959936950265
112.47000122070	-1.3154482237341
112.58000183105	-1.3465073779306
112.69000244141	-1.3782080494555
112.80000305176	-1.3990972747403
112.91000366211	-1.4011982281142
113.01999664307	-1.3829385746988
113.12999725342	-1.3497161004037
113.23999786377	-1.3118364804605
113.34999847412	-1.2807964858456
113.45999908447	-1.2654433120543
113.56999969482	-1.2692779448207
113.68000030518	-1.2895130530097
113.79000091553	-1.3180450006126
113.90000152588	-1.3441083352730
114.01000213623	-1.3579636947140
114.12000274658	-1.3543985426860
114.23000335693	-1.3346144573595
114.33999633789	-1.3056462055940
114.44999694824	-1.2775730383127
114.55999755859	-1.2597957428126
114.66999816895	-1.2577978092607
114.77999877930	-1.2713620141498
114.88999938965	-1.2946729617682
115.00000000000	-1.3182572391417
115.11000061035	-1.3323005447649
115.22000122070	-1.3302861696774
115.33000183105	-1.3115600230656
115.44000244141	-1.2816355596014
115.55000305176	-1.2501071001188
115.66000366211	-1.2271353717438
115.76999664307	-1.2199316028048
115.87999725342	-1.2303839028472
115.98999786377	-1.2544508164190
116.09999847412	-1.2834231892714
116.20999908447	-1.3068098054496
116.31999969482	-1.3160191746836
116.43000030518	-1.3075353189596
116.54000091553	-1.2842070940897
116.65000152588	-1.2540483700931
116.76000213623	-1.2271269418878
116.87000274658	-1.2119014240733
116.98000335693	-1.2123743118157
117.08999633789	-1.2268654107973
117.19999694824	-1.2486902167817
117.30999755859	-1.2685453592027
117.41999816895	-1.2779282532796
117.52999877930	-1.2724052781487
117.63999938965	-1.2533613124446
117.75000000000	-1.2274271353862
117.86000061035	-1.2038529546986
117.97000122070	-1.1910216823392
118.08000183105	-1.1934234745407
118.19000244141	-1.2100788892762
118.30000305176	-1.2348147692119
118.41000366211	-1.2583226118418
118.51999664307	-1.2714817566495
118.62999725342	-1.2687824452682
118.73999786377	-1.2505118261398
118.84999847412	-1.2226131513716
118.95999908447	-1.1943573392513
119.06999969482	-1.1748512227385
119.18000030518	-1.1698344551450
119.29000091553	-1.1797819009426
119.40000152588	-1.1998573813804
119.51000213623	-1.2216540707031
119.62000274658	-1.2362768451648
